Date,Text_Description
2026/05/13,"今日は9:04頃まで月が魚座の終盤を進み、前夜からのボイドタイムが続きます。午前は大きな決断や確定より、整理と保留を優先すると安全です。9:04頃に月が牡羊座へ入ると空気は一気に能動的になり、10時台の月と天王星、15時台の月と海王星、18時台の月と冥王星のピークを通じて、ひらめき、直感、集中力が段階的に強まります。日中の主役は13時台にピークを迎える水星と木星の調和で、連絡、学習、企画、交渉を広げるには好機です。昨日の内向きで曖昧な流れから、今日は言葉にして動き出す流れへ切り替わります。ただし太陽は牡牛座にあり、勢いだけで決めるより、現実的な手順と金銭感覚を残すほど成果につながります。"
2026/05/14,"今日は月が牡羊座を進み、昨日よりも反応の速さと行動力が前面に出やすい日です。未明3時台に月と土星が重なり、朝は責任感や制限を意識しやすい一方、やるべきことを絞るほど集中力が安定します。夜20時台には月と木星の緊張がピークとなり、期待を広げすぎたり、勢いで約束を増やしたりしやすい時間帯です。日中の主役は23時台にピークを迎える水星と太陽の重なりで、考えを言語化する力、説明する力、企画をまとめる力が強まります。昨日の直感的な切り替わりから、今日はその勢いを具体的な言葉や段取りに落とし込む流れです。太陽は牡牛座にあり、スピードを出しながらも、予算、体力、現実的な手順を確認するほど結果につながります。"
2026/05/15,"今日は午前中に流れが大きく切り替わります。月は午前中まで牡羊座を進み、3時台に金星、6時台に火星と強く反応するため、早朝は好き嫌いや衝動がはっきり出やすい配置です。6:35頃から11:32頃まではボイドタイムとなるため、大きな決定や条件確定は急がず、確認、整理、保留を優先すると安全です。11:32頃に月が牡牛座へ入ると、空気は落ち着き、体感、金銭感覚、生活の安定へ意識が向きます。夜20時台には月と冥王星の緊張がピークとなり、こだわりや不安が強まりやすい一方、不要なものを切り分ける力も出ます。昨日の言葉で押し出す流れから、今日は一度足元に戻し、続けられる形に整える日です。"
2026/05/16,"今日は月が牡牛座を進み、全体として落ち着きと実務感が強まる日です。昨日の午前中のボイドと切り替わりを抜け、今日は急に方向転換するより、既に見えている課題を着実に形にする流れが向いています。夜21時台には月と木星の調和がピークとなり、安心感、信頼、支援を受け取りやすい時間帯です。日中は派手なニュースよりも、食事、睡眠、金銭管理、持ち物の整理など、生活の基礎を整えるほど運気が安定します。金星と火星の調和も近づいており、人との距離感や楽しみへの意欲は穏やかに上向きます。太陽と水星は牡牛座にあり、急ぐよりも確かめること、広げるよりも定着させることが成果につながる星模様です。"
2026/05/17,"今日は5:01頃に牡牛座で新月となり、太陽と月が重なることで、金銭感覚、身体のペース、生活の基盤を静かに立て直す流れが強まります。月は11:23頃まで牡牛座を進み、10:02頃に水星と重なった後、11:23頃の双子座入りまでボイドタイムとなるため、午前後半は大きな確定より確認、整理、保留に向きます。月が双子座へ入ると空気は軽くなり、情報交換、移動、学び直しが進みやすくなります。13:16頃の月と天王星の重なりはひらめきや予定変更を呼び込み、17:15頃の月と海王星の調和は想像力や共感を広げ、20:00頃の月と冥王星の調和は集中して深く掘る力を与えます。さらに19:26頃に水星が双子座へ入り、言葉、連絡、企画、調査のスピードが上がります。昨日の落ち着いた牡牛座ムードから、今日は新月で足元を整えたあと、午後以降は会話と発想へ切り替わる一日です。逆行や順行への大きな切替はなく、社会天体は背景として変化への感度と集中力を支えます。"
2026/05/18,"今日は月が双子座を進み、昨日の新月で整えた足元から、情報収集、連絡、学び直しへ意識が移ります。4:35頃に月と土星の調和がピークとなり、早朝は考えを現実的な段取りに落とし込みやすい時間帯です。その後は翌19日10:46頃の月の蟹座入りまで長いボイドタイムに入るため、新規の大きな確定より、下調べ、見直し、言葉の整理に向きます。9:10頃には水星と天王星が双子座で重なり、発想の転換、急な連絡、技術や学習面のひらめきが強まります。ただしボイド中のため、思いつきを即決で固定するより、メモして検証する姿勢が安全です。太陽は牡牛座終盤にあり、速い情報の流れの中でも、身体感覚と現実的な優先順位を残すほど一日が扱いやすくなります。逆行や順行への大きな切替はありません。"
2026/05/19,"今日は午前中に空気が大きく切り替わります。前日早朝から続いた長いボイドタイムは10:46頃、月が蟹座へ入ることで明け、散らばっていた情報を気持ちや生活の実感へ戻す流れになります。7:25頃に火星が牡牛座へ入り、勢い任せの行動より、持続力、体力配分、金銭感覚を重視する動きへ変わります。10:05頃には金星が蟹座へ入り、身近な人、家、安心できる場所への愛着が強まります。月は10:49頃に金星と重なり、10:56頃に火星と調和するため、昼前は人との距離を温かく整えやすい時間帯です。13:04頃の水星と海王星の調和は想像力や言葉のやわらかさを広げ、14:37頃の金星と火星の調和は好意や楽しみを形にする追い風です。夕方16:48頃は月と海王星の緊張で曖昧さが出やすいため、確認は丁寧に。昨日の軽い情報モードから、今日は心地よさと実感を取り戻す一日です。"
2026/05/20,"今日は月が蟹座を進み、昨日のサイン移動で生まれた身近な人や生活への意識を、さらに深く育てる流れです。4:40頃に月と土星の緊張がピークとなり、朝は責任感や不安を重く受け取りやすい一方、必要なことを絞れば落ち着きを取り戻せます。7:52頃には水星と冥王星の調和がピークとなり、調査、分析、相談、言葉にしにくい本音の整理に力が入ります。日中は太陽が牡牛座終盤、火星も牡牛座にあり、急展開よりも継続できる手順や身体のペースを守るほど安定します。夜22:26頃には月と木星が蟹座で重なり、安心感、保護、家族的なつながり、食事や休息から満たされる感覚が広がります。その後は翌21日11:47頃の月の獅子座入りまでボイドタイムに入るため、夜遅くの大きな約束は急がず、余韻を味わいながら整えるのが向いています。昨日のやわらかな切り替わりから、今日は心の拠点を深く確認する星模様です。"
2026/05/21,"今日は9:36頃に太陽が牡牛座から双子座へ入り、昨日までの重めで体感優先の流れから、言葉、情報交換、移動、学びへ意識が切り替わります。一方で月は11:47頃まで蟹座にあり、5/20早朝から続く長いボイドタイムの中にあるため、午前は大きな決定より確認、整理、保留が安全です。月が獅子座へ入ると空気は明るくなり、11:57頃の月と太陽の調和で自己表現と会話が噛み合いやすくなります。午後は14:12頃に月と天王星が調和し、ひらめきや予定変更への対応力が上がる一方、14:42頃の月と火星の緊張で焦りや強い言い方が出やすくなります。18:15頃の月と海王星の調和は想像力や余韻を広げます。水星・金星・火星・太陽は順行で、冥王星逆行は背景として見直しの深さを添える日です。"
2026/05/22,"今日は月が獅子座を進み、昨日の太陽双子座入りで軽くなった情報の流れに、自己表現や遊び心が加わる日です。3:42頃に月と水星が調和し、早朝は連絡、発信、学びの整理が進みやすくなります。7:05頃には月と土星の調和がピークとなり、責任ある判断や段取りを固める力が出ますが、その後は翌23日15:57頃の月の乙女座入りまで長いボイドタイムに入ります。日中以降は新規の大きな確定より、既に決めたことの確認、資料整理、表現の磨き込みに向く流れです。15:31頃には金星と海王星の緊張がピークとなり、好意、期待、買い物、対人面で理想が膨らみやすいため、曖昧な約束や雰囲気だけの判断は慎重に。昨日の切り替わりで動き出した言葉を、今日は焦って拡大せず、形にする前の余白として扱うと安定します。"
