Record_ID,Month_ID,Record_Type,Primary_Planet,Secondary_Planet,Primary_Sign,Secondary_Sign,Match_Type,Target_Natal_House,Valid_From,Valid_To,State_Changes,Tone,Title,Interpretation,Priority,Active_Flag
2026_08_BACKGROUND_JUPITER_LEO_20260801_20260831_NATAL_01,2026-08,background,JUPITER,ANY,LEO,ANY,planet_natal_house,1,2026-08-01,2026-08-31,none,activation,,,95,0
2026_08_BACKGROUND_JUPITER_LEO_20260801_20260831_NATAL_02,2026-08,background,JUPITER,ANY,LEO,ANY,planet_natal_house,2,2026-08-01,2026-08-31,none,activation,,,95,0
2026_08_BACKGROUND_JUPITER_LEO_20260801_20260831_NATAL_03,2026-08,background,JUPITER,ANY,LEO,ANY,planet_natal_house,3,2026-08-01,2026-08-31,none,activation,,,95,0
2026_08_BACKGROUND_JUPITER_LEO_20260801_20260831_NATAL_04,2026-08,background,JUPITER,ANY,LEO,ANY,planet_natal_house,4,2026-08-01,2026-08-31,none,activation,,,95,0
2026_08_BACKGROUND_JUPITER_LEO_20260801_20260831_NATAL_05,2026-08,background,JUPITER,ANY,LEO,ANY,planet_natal_house,5,2026-08-01,2026-08-31,none,activation,,,95,0
2026_08_BACKGROUND_JUPITER_LEO_20260801_20260831_NATAL_06,2026-08,background,JUPITER,ANY,LEO,ANY,planet_natal_house,6,2026-08-01,2026-08-31,none,activation,,,95,0
2026_08_BACKGROUND_JUPITER_LEO_20260801_20260831_NATAL_07,2026-08,background,JUPITER,ANY,LEO,ANY,planet_natal_house,7,2026-08-01,2026-08-31,none,activation,,,95,0
2026_08_BACKGROUND_JUPITER_LEO_20260801_20260831_NATAL_08,2026-08,background,JUPITER,ANY,LEO,ANY,planet_natal_house,8,2026-08-01,2026-08-31,none,activation,,,95,0
2026_08_BACKGROUND_JUPITER_LEO_20260801_20260831_NATAL_09,2026-08,background,JUPITER,ANY,LEO,ANY,planet_natal_house,9,2026-08-01,2026-08-31,none,activation,,,95,0
2026_08_BACKGROUND_JUPITER_LEO_20260801_20260831_NATAL_10,2026-08,background,JUPITER,ANY,LEO,ANY,planet_natal_house,10,2026-08-01,2026-08-31,none,activation,,,95,0
2026_08_BACKGROUND_JUPITER_LEO_20260801_20260831_NATAL_11,2026-08,background,JUPITER,ANY,LEO,ANY,planet_natal_house,11,2026-08-01,2026-08-31,none,activation,,,95,0
2026_08_BACKGROUND_JUPITER_LEO_20260801_20260831_NATAL_12,2026-08,background,JUPITER,ANY,LEO,ANY,planet_natal_house,12,2026-08-01,2026-08-31,none,activation,,,95,0
2026_08_BACKGROUND_SATURN_ARIES_20260801_20260831_NATAL_01,2026-08,background,SATURN,ANY,ARIES,ANY,planet_natal_house,1,2026-08-01,2026-08-31,none,caution,,,120,0
2026_08_BACKGROUND_SATURN_ARIES_20260801_20260831_NATAL_02,2026-08,background,SATURN,ANY,ARIES,ANY,planet_natal_house,2,2026-08-01,2026-08-31,none,caution,,,120,0
2026_08_BACKGROUND_SATURN_ARIES_20260801_20260831_NATAL_03,2026-08,background,SATURN,ANY,ARIES,ANY,planet_natal_house,3,2026-08-01,2026-08-31,none,caution,,,120,0
2026_08_BACKGROUND_SATURN_ARIES_20260801_20260831_NATAL_04,2026-08,background,SATURN,ANY,ARIES,ANY,planet_natal_house,4,2026-08-01,2026-08-31,none,caution,,,120,0
2026_08_BACKGROUND_SATURN_ARIES_20260801_20260831_NATAL_05,2026-08,background,SATURN,ANY,ARIES,ANY,planet_natal_house,5,2026-08-01,2026-08-31,none,caution,,,120,0
2026_08_BACKGROUND_SATURN_ARIES_20260801_20260831_NATAL_06,2026-08,background,SATURN,ANY,ARIES,ANY,planet_natal_house,6,2026-08-01,2026-08-31,none,caution,,,120,0
2026_08_BACKGROUND_SATURN_ARIES_20260801_20260831_NATAL_07,2026-08,background,SATURN,ANY,ARIES,ANY,planet_natal_house,7,2026-08-01,2026-08-31,none,caution,,,120,0
2026_08_BACKGROUND_SATURN_ARIES_20260801_20260831_NATAL_08,2026-08,background,SATURN,ANY,ARIES,ANY,planet_natal_house,8,2026-08-01,2026-08-31,none,caution,,,120,0
2026_08_BACKGROUND_SATURN_ARIES_20260801_20260831_NATAL_09,2026-08,background,SATURN,ANY,ARIES,ANY,planet_natal_house,9,2026-08-01,2026-08-31,none,caution,,,120,0
2026_08_BACKGROUND_SATURN_ARIES_20260801_20260831_NATAL_10,2026-08,background,SATURN,ANY,ARIES,ANY,planet_natal_house,10,2026-08-01,2026-08-31,none,caution,,,120,0
2026_08_BACKGROUND_SATURN_ARIES_20260801_20260831_NATAL_11,2026-08,background,SATURN,ANY,ARIES,ANY,planet_natal_house,11,2026-08-01,2026-08-31,none,caution,,,120,0
2026_08_BACKGROUND_SATURN_ARIES_20260801_20260831_NATAL_12,2026-08,background,SATURN,ANY,ARIES,ANY,planet_natal_house,12,2026-08-01,2026-08-31,none,caution,,,120,0
2026_08_BACKGROUND_URANUS_GEMINI_20260801_20260831_NATAL_01,2026-08,background,URANUS,ANY,GEMINI,ANY,planet_natal_house,1,2026-08-01,2026-08-31,none,mixed,,,105,0
2026_08_BACKGROUND_URANUS_GEMINI_20260801_20260831_NATAL_02,2026-08,background,URANUS,ANY,GEMINI,ANY,planet_natal_house,2,2026-08-01,2026-08-31,none,mixed,,,105,0
2026_08_BACKGROUND_URANUS_GEMINI_20260801_20260831_NATAL_03,2026-08,background,URANUS,ANY,GEMINI,ANY,planet_natal_house,3,2026-08-01,2026-08-31,none,mixed,,,105,0
2026_08_BACKGROUND_URANUS_GEMINI_20260801_20260831_NATAL_04,2026-08,background,URANUS,ANY,GEMINI,ANY,planet_natal_house,4,2026-08-01,2026-08-31,none,mixed,,,105,0
2026_08_BACKGROUND_URANUS_GEMINI_20260801_20260831_NATAL_05,2026-08,background,URANUS,ANY,GEMINI,ANY,planet_natal_house,5,2026-08-01,2026-08-31,none,mixed,,,105,0
